Date;Open;High;Low;Close;Adj Close;Volume;Variation;Operation(1=BUY,0=NONE,-1=SELL)
08/03/2021;8358;8458,400391;8307,5;8444,200195;8444,200195;235094900;1,899411036;1
09/03/2021;8446,299805;8516,200195;8416;8496,400391;8496,400391;281898000;0,618178096;0
10/03/2021;8479,5;8561,099609;8462,299805;8525,200195;8525,200195;203746300;0,338964769;0
11/03/2021;8567,599609;8609,5;8495,799805;8593;8593;189021600;0,795286955;1
12/03/2021;8570;8644,5;8554,400391;8644,5;8644,5;149113500;0,599325032;0
15/03/2021;8689,900391;8740,099609;8617,599609;8635,400391;8635,400391;210887200;-0,105264723;0
16/03/2021;8679,400391;8717,599609;8617,799805;8657,700195;8657,700195;209943700;0,258237059;0
17/03/2021;8652,099609;8659,099609;8570,099609;8599,5;8599,5;173237000;-0,672236202;0
18/03/2021;8632,599609;8658,799805;8587,099609;8624,599609;8624,599609;237338400;0,291872888;0
19/03/2021;8560,099609;8591,200195;8465,900391;8493;8493;375052600;-1,525863402;-1
22/03/2021;8430,200195;8432,599609;8324,799805;8343,5;8343,5;229082300;-1,760273166;-1
23/03/2021;8316,700195;8425,900391;8274,200195;8390,299805;8390,299805;203402800;0,560913346;0
24/03/2021;8351,299805;8443,700195;8288,799805;8443,700195;8443,700195;187924600;0,636453896;0
25/03/2021;8420,299805;8439,200195;8299,700195;8409,5;8409,5;161359200;-0,405038007;0
26/03/2021;8480,5;8528,799805;8437,799805;8498,200195;8498,200195;233895700;1,054761817;1
29/03/2021;8502,799805;8540,400391;8451,5;8492,099609;8492,099609;177594200;-0,0717868;0
30/03/2021;8542,900391;8612,299805;8532,400391;8595,200195;8595,200195;171860100;1,214076503;1
31/03/2021;8594,700195;8652,200195;8568;8580;8580;265542300;-0,176845154;0
01/04/2021;8595,599609;8610,099609;8542,700195;8577,599609;8577,599609;150979000;-0,027976585;0
06/04/2021;8673,200195;8691,900391;8615,5;8634,599609;8634,599609;201717300;0,664521575;0
07/04/2021;8648,299805;8661,799805;8592,200195;8597,400391;8597,400391;137394800;-0,430815784;0
08/04/2021;8626,5;8637,799805;8564,400391;8637,799805;8637,799805;165761800;0,46990267;0
09/04/2021;8639,299805;8647,400391;8565,799805;8565,799805;8565,799805;133458400;-0,833545598;-1
12/04/2021;8556,099609;8556,900391;8481;8532,599609;8532,599609;131409400;-0,387590146;0
13/04/2021;8533,200195;8568,299805;8467,299805;8525,099609;8525,099609;152574000;-0,087898183;0
14/04/2021;8532,599609;8595,700195;8510,099609;8588,400391;8588,400391;133519000;0,742522491;1
15/04/2021;8603,099609;8621,900391;8564,700195;8571,599609;8571,599609;146073800;-0,195621783;0
16/04/2021;8585;8656,400391;8553,599609;8613,5;8613,5;176861600;0,488828141;0
19/04/2021;8613,799805;8741,400391;8609,299805;8711,400391;8711,400391;171375300;1,136592454;1
20/04/2021;8699,400391;8703,900391;8450,700195;8459,400391;8459,400391;214621600;-2,89276108;-1
21/04/2021;8492,900391;8566,299805;8426,200195;8519,799805;8519,799805;175189200;0,713991669;1
22/04/2021;8548,599609;8656,799805;8527,5;8656,799805;8656,799805;136381300;1,608019004;1
23/04/2021;8629,400391;8674;8571,700195;8618,599609;8618,599609;118119300;-0,441273876;0
26/04/2021;8629,900391;8714,599609;8590,599609;8701,900391;8701,900391;162998200;0,9665234;1
27/04/2021;8690,799805;8756,700195;8655,299805;8756,700195;8756,700195;183162900;0,629745246;0
28/04/2021;8779,099609;8815,900391;8717,599609;8799,599609;8799,599609;218196700;0,48990388;0
29/04/2021;8821,799805;8869,900391;8801,400391;8823,200195;8823,200195;261774400;0,26820068;0
30/04/2021;8822,299805;8860,400391;8808,599609;8815;8815;267612000;-0,092939011;0
03/05/2021;8821,599609;8904,700195;8796,299805;8893,700195;8893,700195;150399700;0,892798582;1
04/05/2021;8906;9002,400391;8811,900391;8830,400391;8830,400391;231895800;-0,711737551;-1
05/05/2021;8896,700195;8967,799805;8881,400391;8967,799805;8967,799805;180443400;1,555981699;1
06/05/2021;8982,599609;9010,5;8912,200195;8982,200195;8982,200195;188334200;0,160578852;0
07/05/2021;9042;9065,900391;8982,900391;9059,200195;9059,200195;191889900;0,857250989;1
10/05/2021;9121,5;9149,099609;9061,099609;9144,299805;9144,299805;237075400;0,93937222;1
11/05/2021;9065,099609;9078,700195;8948,099609;8987,200195;8987,200195;232088700;-1,718005898;-1
12/05/2021;8990,200195;9055,200195;8953,400391;9007,700195;9007,700195;195759200;0,228102185;0
13/05/2021;8932,700195;8989,599609;8804,299805;8966,200195;8966,200195;173524400;-0,460716932;0
14/05/2021;9036,299805;9149;9005,900391;9145,599609;9145,599609;161364300;2,000841049;1
17/05/2021;9166,700195;9203;9099,5;9155,599609;9155,599609;164174400;0,109342202;0
18/05/2021;9214,200195;9241,5;9127,200195;9183,900391;9183,900391;176037400;0,309108996;0
19/05/2021;9121,400391;9164,700195;8977,900391;9070,700195;9070,700195;200253900;-1,2325939;-1
20/05/2021;9112,099609;9124,299805;8997,200195;9124,299805;9124,299805;138305200;0,590909289;0
21/05/2021;9129,599609;9223,900391;9110,599609;9204;9204;175406200;0,873493821;1
24/05/2021;9230,400391;9243,200195;9170,799805;9205,5;9205,5;91842700;0,016297262;0
25/05/2021;9220,900391;9245,599609;9197;9208,700195;9208,700195;147285300;0,034763945;0
26/05/2021;9232;9243,400391;9144,900391;9196,900391;9196,900391;160831700;-0,128137563;0
27/05/2021;9183,799805;9254,700195;9173,5;9186,099609;9186,099609;325441300;-0,117439371;0
28/05/2021;9237,799805;9243,299805;9204,299805;9224,599609;9224,599609;192320800;0,419111501;0
31/05/2021;9224,200195;9226,099609;9148,900391;9148,900391;9148,900391;102386400;-0,820623346;-1
01/06/2021;9167,299805;9226,799805;9137,200195;9189,700195;9189,700195;143121400;0,44595309;0
02/06/2021;9198,299805;9216;9152;9180,700195;9180,700195;137506400;-0,09793573;0
