Date;Open;High;Low;Close;Adj Close;Volume;Datetime;DiffClose;DiffClose(%);SMA_20;EMA_50;BBL_20_2.0;BBM_20_2.0;BBU_20_2.0;BBB_20_2.0;BBP_20_2.0;STOCHk_14_3_3;STOCHd_14_3_3;RSI_14;MACD_12_26_9;MACDh_12_26_9;MACDs_12_26_9;ADX_14;DMP_14;DMN_14
2004-05-04;8184,0;8184,100098;8117,700195;8151,600098;8151,591797;139800,0;2004-05-04;-19,0;-0,23308307291303043;8295,795044;8156,409304802581;8119,654047368346;8295,795044;8471,936040631654;4,246512738017776;0,09068317780232406;20,14712788385042;14,777874490990248;45,72462100004845;10,507379647115158;-31,42945895964749;41,93683860676265;18,32895538643777;20,871013138273284;28,406824042516696
2004-05-05;8113,899902;8266,0;8108,600098;8235,799805;8235,791016;168800,0;2004-05-05;84,19970700000067;1,022362235527903;8293,2900147;8159,5226577514995;8115,242675724793;8293,2900147;8471,337353675208;4,293768544440515;0,33855358347140113;33,35277173645157;23,27780756056167;51,24971785915628;10,380283402935675;-25,245244163061585;35,62552756599726;17,17940637495398;24,2334957739219;25,341633379471237
2004-05-06;8233,700195;8238,700195;8116,799805;8119,299805;8119,291504;184600,0;2004-05-06;-116,50000000000091;-1,4348527927033594;8285,1650147;8157,945290976931;8091,606480797068;8285,1650147;8478,723548602931;4,672412282905877;0,0715373371675252;28,371674334818408;27,290524651706818;44,49984546690712;0,8689654520494514;-27,80524969115825;28,6742151432077;16,111968007147606;22,232659508373438;23,2493038382895
2004-05-07;8121,899902;8134,100098;8000,100098;8027,0;8026,991699;194000,0;2004-05-07;-92,29980499999965;-1,1498667621776462;8271,77502445;8152,810181526856;8048,0363201155515;8271,77502445;8495,513728784448;5,409690270180552;-0,04701090984263952;22,756405540813677;28,160283870694574;40,004412538923674;-13,955771979010024;-34,10398969777418;20,14821771876416;16,221684987708638;20,253088310958464;28,93354885968899
2004-05-10;7925,5;7929,200195;7797,200195;7815,100098;7815,092285;231800,0;2004-05-10;-211,8999020000001;-2,711416352225974;8243,0250489;8139,566648839528;7950,342593551899;8243,0250489;8535,7075042481;7,101336065626963;-0,2310396354148547;7,796690171527302;19,641590015719817;32,009605340212794;-42,31525050215987;-49,970774576739224;7,655524074579354;17,664193941257295;17,392975657476608;37,316376766547755
2004-05-11;7843,299805;7920,200195;7835,399902;7909,0;7908,992188;159400,0;2004-05-11;93,89990200000011;1,1872537868251374;8216,260058650001;8130,524819473272;7904,796092794929;8216,260058650001;8527,724024505073;7,581648186200374;0,006748625308115499;9,35933957953281;13,304145097291283;37,9293808988676;-56,561399607166095;-51,37353894539636;-5,1878606617697365;19,00366654098105;16,2618764829997;34,88961990870281
2004-05-12;7939,799805;7940,5;7821,0;7829,0;7828,992188;169200,0;2004-05-12;-80,0;-1,021841869970622;8190,110058650001;8118,70031674883;7842,858685296705;8190,110058650001;8537,361432003298;8,47977306450348;-0,01995483151423661;8,961736879473214;8,705922210177796;35,12352534286465;-73,46010446599303;-54,617795043378635;-18,842309422614395;19,996420691443458;16,31538017106438;32,31627739236472
2004-05-13;7878,5;7886,799805;7816,399902;7866,399902;7866,39209;167400,0;2004-05-13;37,39990200000011;0,4754386055365853;8167,910034199999;8108,806182837111;7798,213060658522;8167,910034199999;8537,607007741475;9,05242521020706;0,09221990741266889;11,808403949091877;10,043160136032654;37,45301660292729;-82,87921034152987;-51,22952073513238;-31,64968960639749;20,948208825029376;15,58604666112189;31,16376336744767
2004-05-14;7798,899902;7831,0;7735,5;7779,700195;7779,692383;173800,0;2004-05-14;-86,69970699999976;-1,1144350659646436;8137,500024399999;8095,900065667029;7745,787116909165;8137,500024399999;8529,212931890834;9,62735253619164;0,043288180504530475;7,896609932516665;9,555583587027273;34,371892856768554;-96,230575214483;-51,6647084864684;-44,5658667280146;22,33597232774269;14,305530992873647;33,68100603771114
2004-05-17;7704,299805;7717,600098;7605,700195;7671,899902;7671,89209;156400,0;2004-05-17;-107,80029300000024;-1,4051316411453387;8104,074999949999;8079,272608268322;7675,014333028073;8104,074999949999;8533,135666871925;10,588763478239608;-0,0036293597481402997;9,024474500170921;9,576496127259842;30,96130960492701;-114,19385510965185;-55,7023907053098;-58,49146440434205;24,282893249971;12,800112267529238;37,986794499554854
2004-05-18;7724,5;7749,899902;7694,899902;7724,899902;7724,89209;137200,0;2004-05-18;53,0;0,6860930325618606;8071,5599853;8065,375639395055;7631,199760152874;8071,5599853;8511,920210447128;10,911403147572841;0,10639033284150558;11,201981319859806;9,37435525084915;34,40735475346776;-122,73837519720837;-51,39752863429305;-71,34084656291532;25,66574464792857;14,183291902286753;36,150277292119874
2004-05-19;7821,5;7922,600098;7784,100098;7900,0;7899,992188;170000,0;2004-05-19;175,1000979999999;2,2164569367088593;8052,4550048500005;8058,890320203092;7617,163946061368;8052,4550048500005;8487,746063638633;10,81138754644283;0,3248815341230922;23,76679270082202;14,664416173617605;44,299349722027195;-114,06597285900261;-34,18010103686984;-79,88587182213277;25,037847658753986;22,71364890105551;31,93585472252583
2004-05-20;7828,100098;7835,100098;7765,700195;7817,200195;7817,192383;82600,0;2004-05-20;-82,79980499999965;-1,059200262684326;8028,63503415;8049,412276077482;7596,607763096293;8028,63503415;8460,662305203707;10,762159924222937;0,25529919831876186;31,551299741284456;22,173357920655448;41,139845056291804;-112,57657116543396;-26,152559474640952;-86,42401169079301;24,57909386419195;20,92871561513178;30,502853733246226
2004-05-21;7849,200195;7881,700195;7770,600098;7806,5;7806,492188;115800,0;2004-05-21;-10,700195000000349;-0,13706776404278934;8002,375024399999;8039,8863044666;7583,581152882052;8002,375024399999;8421,168895917946;10,466739442753056;0,26614387444348586;35,67064559913559;30,32957934708071;40,73550956419408;-110,98031392784651;-19,64504178964279;-91,33527213820372;23,695493587034047;22,30374317221477;28,507078919732947
2004-05-24;7857,5;7955,600098;7828,399902;7883,899902;7883,89209;122600,0;2004-05-24;77,39990200000011;0,9817463813862627;7978,42499995;8033,769190644381;7591,248741548875;7978,42499995;8365,601258351126;9,705581199385886;0,37793014693056215;34,85787853594779;34,026607958789306;44,95022414826381;-102,29060095904879;-8,764263056676057;-93,52633790237273;22,198132542916966;24,658835018402733;26,044266318010695
2004-05-25;7832,100098;7852,899902;7793,799805;7841,5;7841,492188;117200,0;2004-05-25;-42,39990200000011;-0,5407116240515222;7952,54999995;8026,229222383818;7603,251248793994;7952,54999995;8301,848751106007;8,784572273250781;0,34103865304058545;36,597961709732395;35,70882861493862;43,14027789300251;-97,69904479307843;-3,338165512564558;-94,36087928051387;21,091490237028598;23,346248995979828;26,702058190852767
2004-05-26;7952,5;7974,299805;7901,100098;7926,100098;7926,092285;110800,0;2004-05-26;84,60009799999989;1,0673609587815716;7937,2199951;8022,302590055041;7612,3928495753935;7937,2199951;8262,047140624607;8,18490972217318;0,48288336234639295;46,67312028519593;39,37632017695873;47,668115941067605;-86,23956653434834;6,497050196932435;-92,73661673128078;20,125011081166697;28,649453844470074;24,621735332697924
2004-05-27;7933,299805;7996,899902;7922,799805;7965,399902;7965,391602;106400,0;2004-05-27;39,29980400000022;0,4933814307318405;7927,5199951;8020,071112092098;7618,61490661128;7927,5199951;8236,425083588721;7,7932339162728015;0,5613131805068702;63,27829181324791;48,84979126939211;49,67300947194628;-73,14352864463854;15,674470469313803;-88,81799911395234;19,399924392883094;28,732187967965018;23,520600669770747
